periodname;region1;region2;region3
January 2023;62,;14,;37,
February 2023;35,;2,;12,
March 2023;43,;11,;23,
April 2023;89,;6,;41,
May 2023;117,;10,;22,
June 2023;311,;11,;71,
July 2023;1225,;80,;295,
August 2023;1433,;90,;389,
September 2023;1349,;62,;307,
October 2023;13,;1,;13,
