,time_period,rainfall,mean_temperature,disease_cases,population,parent,location
76,2016-06-13/2016-06-19,2.8,30.2428571428571,0,864954,-,1
77,2016-06-20/2016-06-26,18.8,29.6,2,864954,-,1
78,2016-06-27/2016-07-03,66.9,28.9857142857143,1,864954,-,1
79,2016-07-04/2016-07-10,124.9,27.6857142857143,7,864954,-,1
80,2016-07-11/2016-07-17,38.6,29.8428571428571,7,864954,-,1
81,2016-07-18/2016-07-24,1.4,30.1285714285714,14,864954,-,1
82,2016-07-25/2016-07-31,65.5,28.9571428571429,17,864954,-,1
83,2016-08-01/2016-08-07,47.9,28.4142857142857,19,864954,-,1
84,2016-08-08/2016-08-14,36.0,28.9428571428571,28,864954,-,1
85,2016-08-15/2016-08-21,26.2,28.2857142857143,18,864954,-,1
86,2016-08-22/2016-08-28,86.4,28.9285714285714,17,864954,-,1
87,2016-08-29/2016-09-04,36.8,28.8285714285714,35,864954,-,1
88,2016-09-05/2016-09-11,91.9,28.8142857142857,51,864954,-,1
89,2016-09-12/2016-09-18,65.1,27.9142857142857,46,864954,-,1
90,2016-09-19/2016-09-25,85.3,29.0714285714286,36,864954,-,1
91,2016-09-26/2016-10-02,19.9,29.5428571428571,67,864954,-,1
92,2016-10-03/2016-10-09,61.9,28.8714285714286,101,864954,-,1
93,2016-10-10/2016-10-16,19.9,29.3571428571429,82,864954,-,1
94,2016-10-17/2016-10-23,16.8,28.2857142857143,65,864954,-,1
95,2016-10-24/2016-10-30,61.5,28.9714285714286,54,864954,-,1
96,2016-10-31/2016-11-06,0.0,29.2571428571429,90,864954,-,1
97,2016-11-07/2016-11-13,51.2,26.8571428571429,94,864954,-,1
98,2016-11-14/2016-11-20,0.0,27.3714285714286,38,864954,-,1
99,2016-11-21/2016-11-27,0.0,27.8,65,864954,-,1
100,2016-11-28/2016-12-04,0.0,26.0285714285714,77,864954,-,1
101,2016-12-05/2016-12-11,0.0,25.0714285714286,45,864954,-,1
102,2016-12-12/2016-12-18,0.0,24.3571428571429,20,864954,-,1
103,2016-12-19/2016-12-25,0.0,25.5,22,864954,-,1
104,2016-12-26/2017-01-01,0.0,25.6571428571429,12,864954,-,1
105,2017-01-02/2017-01-08,0.0,25.4333333333333,17,885910,-,1
106,2017-01-09/2017-01-15,1.3,26.2428571428571,16,885910,-,1
107,2017-01-16/2017-01-22,0.0,26.0428571428571,22,885910,-,1
108,2017-01-23/2017-01-29,0.0,24.5714285714286,9,885910,-,1
109,2017-01-30/2017-02-05,0.0,25.0714285714286,13,885910,-,1
110,2017-02-06/2017-02-12,0.0,25.7857142857143,4,885910,-,1
111,2017-02-13/2017-02-19,0.0,23.0571428571429,9,885910,-,1
112,2017-02-20/2017-02-26,0.0,26.7428571428571,11,885910,-,1
113,2017-02-27/2017-03-05,0.0,25.0,0,885910,-,1
114,2017-03-06/2017-03-12,0.0,28.2714285714286,7,885910,-,1
115,2017-03-13/2017-03-19,21.0,30.0714285714286,2,885910,-,1
116,2017-03-20/2017-03-26,0.4,28.5142857142857,1,885910,-,1
117,2017-03-27/2017-04-02,50.1,27.8857142857143,3,885910,-,1
118,2017-04-03/2017-04-09,0.0,27.7285714285714,4,885910,-,1
119,2017-04-10/2017-04-16,15.4,30.6571428571429,0,885910,-,1
120,2017-04-17/2017-04-23,82.5,31.0,2,885910,-,1
121,2017-04-24/2017-04-30,7.5,29.1857142857143,14,885910,-,1
122,2017-05-01/2017-05-07,2.7,31.4571428571429,23,885910,-,1
123,2017-05-08/2017-05-14,15.5,30.0571428571429,17,885910,-,1
124,2017-05-15/2017-05-21,135.4,27.1714285714286,13,885910,-,1
125,2017-05-22/2017-05-28,32.7,30.0428571428571,21,885910,-,1
126,2017-05-29/2017-06-04,0.0,30.5571428571429,27,885910,-,1
127,2017-06-05/2017-06-11,95.2,29.9714285714286,41,885910,-,1
128,2017-06-12/2017-06-18,37.6,29.1,45,885910,-,1
129,2017-06-19/2017-06-25,24.4,30.3714285714286,64,885910,-,1
130,2017-06-26/2017-07-02,126.9,28.8285714285714,83,885910,-,1
131,2017-07-03/2017-07-09,55.1,28.2714285714286,92,885910,-,1
132,2017-07-10/2017-07-16,46.9,27.9857142857143,91,885910,-,1
133,2017-07-17/2017-07-23,124.6,28.1285714285714,109,885910,-,1
134,2017-07-24/2017-07-30,65.2,28.9857142857143,99,885910,-,1
135,2017-07-31/2017-08-06,19.5,29.5142857142857,90,885910,-,1
136,2017-08-07/2017-08-13,97.7,28.9,127,885910,-,1
137,2017-08-14/2017-08-20,79.6,28.8571428571429,154,885910,-,1
138,2017-08-21/2017-08-27,63.1,28.7285714285714,159,885910,-,1
139,2017-08-28/2017-09-03,75.1,28.4857142857143,241,885910,-,1
140,2017-09-04/2017-09-10,18.0,28.8,220,885910,-,1
141,2017-09-11/2017-09-17,49.6,29.3857142857143,225,885910,-,1
142,2017-09-18/2017-09-24,82.4,28.6857142857143,241,885910,-,1
143,2017-09-25/2017-10-01,23.9,29.3142857142857,211,885910,-,1
144,2017-10-02/2017-10-08,95.7,28.4,202,885910,-,1
145,2017-10-09/2017-10-15,19.9,28.2285714285714,197,885910,-,1
146,2017-10-16/2017-10-22,25.9,27.6857142857143,159,885910,-,1
147,2017-10-23/2017-10-29,0.4,28.1,111,885910,-,1
148,2017-10-30/2017-11-05,0.0,26.5285714285714,109,885910,-,1
149,2017-11-06/2017-11-12,0.2,25.7857142857143,74,885910,-,1
150,2017-11-13/2017-11-19,0.0,28.5714285714286,76,885910,-,1
151,2017-11-20/2017-11-26,0.0,27.2857142857143,25,885910,-,1
152,2017-11-27/2017-12-03,0.0,25.8,61,885910,-,1
153,2017-12-04/2017-12-10,0.0,25.3142857142857,12,885910,-,1
154,2017-12-11/2017-12-17,0.0,26.1714285714286,22,885910,-,1
155,2017-12-18/2017-12-24,0.0,20.2571428571429,13,885910,-,1
156,2017-12-25/2017-12-31,21.6,22.2,3,885910,-,1
157,2018-01-01/2018-01-07,0.0,25.05,7,906858,-,1
158,2018-01-08/2018-01-14,0.0,22.8,6,906858,-,1
159,2018-01-15/2018-01-21,0.0,23.3142857142857,5,906858,-,1
160,2018-01-22/2018-01-28,0.0,25.8428571428571,2,906858,-,1
161,2018-01-29/2018-02-04,0.0,22.9714285714286,3,906858,-,1
162,2018-02-05/2018-02-11,0.0,21.1857142857143,3,906858,-,1
163,2018-02-12/2018-02-18,0.0,25.5285714285714,10,906858,-,1
164,2018-02-19/2018-02-25,25.2,27.3571428571429,4,906858,-,1
165,2018-02-26/2018-03-04,0.5,28.1428571428571,14,906858,-,1
166,2018-03-05/2018-03-11,0.0,27.8285714285714,8,906858,-,1
167,2018-03-12/2018-03-18,14.4,26.6,10,906858,-,1
168,2018-03-19/2018-03-25,0.0,27.5571428571429,4,906858,-,1
169,2018-03-26/2018-04-01,0.0,28.1571428571429,2,906858,-,1
170,2018-04-02/2018-04-08,4.3,28.5571428571429,1,906858,-,1
171,2018-04-09/2018-04-15,0.0,29.6,0,906858,-,1
172,2018-04-16/2018-04-22,84.6,28.6714285714286,6,906858,-,1
173,2018-04-23/2018-04-29,69.5,30.1571428571429,13,906858,-,1
174,2018-04-30/2018-05-06,27.7,28.0857142857143,3,906858,-,1
