time_period,rainfall,mean_temperature,disease_cases
2003-01-01,0.0,20.400000000000002,87.99999999999999
2003-01-08,0.0,18.96,83.19999999999999
2003-01-15,0.0,17.664,84.87999999999998
2003-01-22,0.0,17.397600000000004,87.89199999999997
2003-01-29,0.0,17.157840000000004,92.10279999999995
2003-02-05,0.0,16.223874181818186,100.98342909090901
2003-02-12,0.0,16.28330494545455,109.56690436363627
2003-02-19,7.818181818181816,16.336792632727274,119.44657756363625
2003-02-26,7.818181818181816,17.28493155127273,124.58555617090896
2003-03-05,7.818181818181816,17.420074759781823,129.04881873563622
2003-03-12,18.181818181818183,16.641703647440004,139.47666413479985
2003-03-19,18.181818181818183,15.941169646332368,153.40717953950164
2003-03-26,18.181818181818183,15.310689045335494,170.4900979491878
2003-04-02,18.181818181818183,16.72507468625649,180.50108815426898
2003-04-09,18.181818181818183,17.098021763085388,188.64734297520567
2003-04-16,18.181818181818183,16.533674132231397,199.61533595041232
2003-04-23,6.545454545454545,17.825761264462802,201.79562053718922
2003-04-30,6.545454545454545,17.188639683471067,207.1615130289248
2003-05-07,48.0,17.69704844239669,218.27627081694135
2003-05-14,48.0,17.254616325429748,231.6031891897926
2003-05-21,8.0,16.856427420159502,238.92105208899508
2003-05-28,8.0,16.49805740541628,248.03076506191368
2003-06-04,31.818181818181817,17.257342573965563,258.10768855572223
2003-06-11,31.818181818181817,18.840699225659918,260.267828791059
2003-06-18,39.090909090909086,20.26572021218484,256.7574095483166
2003-06-25,9.09090909090909,19.748239100057265,249.8343958662121
2003-07-02,9.09090909090909,19.28250609914245,245.24004718868167
2003-07-09,9.09090909090909,18.863346398319113,242.74149701526792
2003-07-16,23.636363636363637,20.286102667578113,236.0382564046501
2003-07-23,23.636363636363637,19.766583309911212,231.93261258236677
2003-07-30,23.636363636363637,21.099015888011003,221.16480586958448
2003-08-06,17.454545454545453,20.31638702648263,213.07377982808043
2003-08-13,44.36363636363637,21.412021051107093,204.88640184527225
2003-08-20,44.36363636363637,21.498091673269112,196.26867075165396
2003-08-27,44.36363636363637,21.575555233214928,187.26362185830658
2003-09-03,44.36363636363637,21.463454255347983,178.81907785429394
2003-09-10,24.0,20.46256337526773,171.30626097795528
2003-09-17,40.90909090909091,20.461761583195504,167.17927124379594
2003-09-24,40.90909090909091,19.5610399703305,167.55588957396162
2003-10-01,40.90909090909091,18.568572336933816,172.89484607111072
2003-10-08,40.90909090909091,17.675351466876798,182.6999069185449
2003-10-15,40.90909090909091,18.671452683825482,187.5244616812357
2003-10-22,22.181818181818183,17.7679437790793,193.12110642220284
2003-10-29,33.81818181818182,17.854785764807733,200.61081396180055
2003-11-05,33.81818181818182,16.85112537014514,213.1188234747112
2003-11-12,33.81818181818182,16.84783101494881,225.6433047636035
2003-11-19,3.2727272727272716,15.944866095272111,236.5735197417884
2003-11-26,3.2727272727272716,16.93219766756308,242.56707685851845
2003-12-03,0.0,16.738977900806773,248.8721873544846
2003-12-10,0.0,15.665080110726096,260.54678680085414
