,time_period,disease_cases,location,week_id
418,2023W50,21,RdNV4tTRNEo,107269
430,2023W51,21,RdNV4tTRNEo,107270
419,2023W52,23,RdNV4tTRNEo,107271
644,2024W1,29,RdNV4tTRNEo,107273
484,2024W2,32,RdNV4tTRNEo,107274
296,2024W3,27,RdNV4tTRNEo,107275
481,2024W4,18,RdNV4tTRNEo,107276
656,2024W5,23,RdNV4tTRNEo,107277
493,2024W6,19,RdNV4tTRNEo,107278
317,2024W7,20,RdNV4tTRNEo,107279
502,2024W8,20,RdNV4tTRNEo,107280
661,2024W9,17,RdNV4tTRNEo,107281
556,2024W10,26,RdNV4tTRNEo,107282
551,2024W11,24,RdNV4tTRNEo,107283
205,2024W12,12,RdNV4tTRNEo,107284
196,2024W13,28,RdNV4tTRNEo,107285
545,2024W14,15,RdNV4tTRNEo,107286
541,2024W15,21,RdNV4tTRNEo,107287
256,2023W17,3,TOgZ99Jv0bN,107236
412,2023W30,1,TOgZ99Jv0bN,107249
403,2023W32,3,TOgZ99Jv0bN,107251
399,2023W33,5,TOgZ99Jv0bN,107252
434,2023W35,1,TOgZ99Jv0bN,107254
439,2023W39,1,TOgZ99Jv0bN,107258
409,2023W42,1,TOgZ99Jv0bN,107261
400,2023W44,67,TOgZ99Jv0bN,107263
394,2023W45,64,TOgZ99Jv0bN,107264
380,2023W46,47,TOgZ99Jv0bN,107265
383,2023W47,39,TOgZ99Jv0bN,107266
384,2023W48,57,TOgZ99Jv0bN,107267
387,2023W49,62,TOgZ99Jv0bN,107268
673,2023W50,73,TOgZ99Jv0bN,107269
497,2023W51,54,TOgZ99Jv0bN,107270
330,2023W52,65,TOgZ99Jv0bN,107271
294,2024W1,79,TOgZ99Jv0bN,107273
476,2024W2,51,TOgZ99Jv0bN,107274
658,2024W3,52,TOgZ99Jv0bN,107275
500,2024W4,65,TOgZ99Jv0bN,107276
323,2024W5,66,TOgZ99Jv0bN,107277
504,2024W6,40,TOgZ99Jv0bN,107278
630,2024W7,54,TOgZ99Jv0bN,107279
467,2024W8,61,TOgZ99Jv0bN,107280
284,2024W9,55,TOgZ99Jv0bN,107281
197,2024W10,66,TOgZ99Jv0bN,107282
192,2024W11,37,TOgZ99Jv0bN,107283
590,2024W12,67,TOgZ99Jv0bN,107284
586,2024W13,68,TOgZ99Jv0bN,107285
198,2024W14,63,TOgZ99Jv0bN,107286
203,2024W15,73,TOgZ99Jv0bN,107287
62,2023W31,1,VWGSudnonm5,107250
67,2023W33,1,VWGSudnonm5,107252
12,2023W44,43,VWGSudnonm5,107263
13,2023W45,42,VWGSudnonm5,107264
46,2023W46,39,VWGSudnonm5,107265
53,2023W47,31,VWGSudnonm5,107266
39,2023W48,38,VWGSudnonm5,107267
40,2023W49,36,VWGSudnonm5,107268
77,2023W50,46,VWGSudnonm5,107269
58,2023W51,41,VWGSudnonm5,107270
59,2023W52,61,VWGSudnonm5,107271
606,2024W1,44,VWGSudnonm5,107273
116,2024W2,41,VWGSudnonm5,107274
297,2024W3,57,VWGSudnonm5,107275
124,2024W4,59,VWGSudnonm5,107276
639,2024W5,48,VWGSudnonm5,107277
117,2024W6,46,VWGSudnonm5,107278
298,2024W7,61,VWGSudnonm5,107279
112,2024W8,61,VWGSudnonm5,107280
635,2024W9,63,VWGSudnonm5,107281
561,2024W10,58,VWGSudnonm5,107282
565,2024W11,74,VWGSudnonm5,107283
215,2024W12,60,VWGSudnonm5,107284
199,2024W13,61,VWGSudnonm5,107285
543,2024W14,47,VWGSudnonm5,107286
554,2024W15,45,VWGSudnonm5,107287
76,2023W16,11,W6sNfkJcXGC,107235
72,2023W17,11,W6sNfkJcXGC,107236
69,2023W18,6,W6sNfkJcXGC,107237
87,2023W19,18,W6sNfkJcXGC,107238
130,2023W20,13,W6sNfkJcXGC,107239
648,2023W21,48,W6sNfkJcXGC,107240
125,2023W22,15,W6sNfkJcXGC,107241
306,2023W23,8,W6sNfkJcXGC,107242
131,2023W24,7,W6sNfkJcXGC,107243
645,2023W25,6,W6sNfkJcXGC,107244
118,2023W26,3,W6sNfkJcXGC,107245
302,2023W27,3,W6sNfkJcXGC,107246
114,2023W28,2,W6sNfkJcXGC,107247
640,2023W29,1,W6sNfkJcXGC,107248
326,2023W30,1,W6sNfkJcXGC,107249
132,2023W31,4,W6sNfkJcXGC,107250
649,2023W32,2,W6sNfkJcXGC,107251
307,2023W34,2,W6sNfkJcXGC,107253
133,2023W35,7,W6sNfkJcXGC,107254
600,2023W36,8,W6sNfkJcXGC,107255
255,2023W37,2,W6sNfkJcXGC,107256
250,2023W38,4,W6sNfkJcXGC,107257
221,2023W44,14,W6sNfkJcXGC,107263
226,2023W45,22,W6sNfkJcXGC,107264
571,2023W46,16,W6sNfkJcXGC,107265
559,2023W47,4,W6sNfkJcXGC,107266
214,2023W48,12,W6sNfkJcXGC,107267
212,2023W49,12,W6sNfkJcXGC,107268
235,2023W50,11,W6sNfkJcXGC,107269
239,2023W51,8,W6sNfkJcXGC,107270
570,2023W52,9,W6sNfkJcXGC,107271
152,2024W1,21,W6sNfkJcXGC,107273
674,2024W2,13,W6sNfkJcXGC,107274
146,2024W3,14,W6sNfkJcXGC,107275
331,2024W4,16,W6sNfkJcXGC,107276
147,2024W5,20,W6sNfkJcXGC,107277
659,2024W6,17,W6sNfkJcXGC,107278
139,2024W7,16,W6sNfkJcXGC,107279
312,2024W8,9,W6sNfkJcXGC,107280
70,2024W9,11,W6sNfkJcXGC,107281
37,2024W10,16,W6sNfkJcXGC,107282
56,2024W11,12,W6sNfkJcXGC,107283
44,2024W12,11,W6sNfkJcXGC,107284
48,2024W13,17,W6sNfkJcXGC,107285
29,2024W14,16,W6sNfkJcXGC,107286
35,2024W15,8,W6sNfkJcXGC,107287
291,2023W16,8,XKGgynPS1WZ,107235
121,2023W17,7,XKGgynPS1WZ,107236
646,2023W18,21,XKGgynPS1WZ,107237
122,2023W19,44,XKGgynPS1WZ,107238
664,2023W20,47,XKGgynPS1WZ,107239
141,2023W21,23,XKGgynPS1WZ,107240
325,2023W22,40,XKGgynPS1WZ,107241
153,2023W23,21,XKGgynPS1WZ,107242
