,time_period,disease_cases,location,week_id
158,2023W34,2,rO2RVJWHpCe,107253
336,2023W35,3,rO2RVJWHpCe,107254
156,2023W36,1,rO2RVJWHpCe,107255
164,2023W38,5,rO2RVJWHpCe,107257
268,2023W42,1,rO2RVJWHpCe,107261
553,2023W44,53,rO2RVJWHpCe,107263
208,2023W45,39,rO2RVJWHpCe,107264
202,2023W46,44,rO2RVJWHpCe,107265
546,2023W47,29,rO2RVJWHpCe,107266
562,2023W48,44,rO2RVJWHpCe,107267
219,2023W49,57,rO2RVJWHpCe,107268
696,2023W50,38,rO2RVJWHpCe,107269
535,2023W51,38,rO2RVJWHpCe,107270
359,2023W52,46,rO2RVJWHpCe,107271
355,2024W1,37,rO2RVJWHpCe,107273
170,2024W2,39,rO2RVJWHpCe,107274
687,2024W3,41,rO2RVJWHpCe,107275
166,2024W4,21,rO2RVJWHpCe,107276
373,2024W5,19,rO2RVJWHpCe,107277
165,2024W6,30,rO2RVJWHpCe,107278
688,2024W7,32,rO2RVJWHpCe,107279
167,2024W8,23,rO2RVJWHpCe,107280
356,2024W9,26,rO2RVJWHpCe,107281
83,2024W10,40,rO2RVJWHpCe,107282
97,2024W11,44,rO2RVJWHpCe,107283
102,2024W12,33,rO2RVJWHpCe,107284
98,2024W13,36,rO2RVJWHpCe,107285
93,2024W14,19,rO2RVJWHpCe,107286
91,2024W15,27,rO2RVJWHpCe,107287
490,2023W17,1,sv6c7CpPcrc,107236
308,2023W18,1,sv6c7CpPcrc,107237
487,2023W19,1,sv6c7CpPcrc,107238
319,2023W20,2,sv6c7CpPcrc,107239
496,2023W21,1,sv6c7CpPcrc,107240
655,2023W26,1,sv6c7CpPcrc,107245
489,2023W27,4,sv6c7CpPcrc,107246
309,2023W28,3,sv6c7CpPcrc,107247
491,2023W29,4,sv6c7CpPcrc,107248
404,2023W31,1,sv6c7CpPcrc,107250
413,2023W33,1,sv6c7CpPcrc,107252
410,2023W34,4,sv6c7CpPcrc,107253
393,2023W35,1,sv6c7CpPcrc,107254
395,2023W37,1,sv6c7CpPcrc,107256
391,2023W38,1,sv6c7CpPcrc,107257
406,2023W44,41,sv6c7CpPcrc,107263
407,2023W45,48,sv6c7CpPcrc,107264
392,2023W46,42,sv6c7CpPcrc,107265
389,2023W47,37,sv6c7CpPcrc,107266
388,2023W48,30,sv6c7CpPcrc,107267
390,2023W49,31,sv6c7CpPcrc,107268
677,2023W50,41,sv6c7CpPcrc,107269
492,2023W51,40,sv6c7CpPcrc,107270
315,2023W52,36,sv6c7CpPcrc,107271
301,2024W1,32,sv6c7CpPcrc,107273
471,2024W2,41,sv6c7CpPcrc,107274
631,2024W3,35,sv6c7CpPcrc,107275
469,2024W4,25,sv6c7CpPcrc,107276
285,2024W5,29,sv6c7CpPcrc,107277
472,2024W6,18,sv6c7CpPcrc,107278
632,2024W7,39,sv6c7CpPcrc,107279
501,2024W8,20,sv6c7CpPcrc,107280
324,2024W9,13,sv6c7CpPcrc,107281
206,2024W10,21,sv6c7CpPcrc,107282
204,2024W11,21,sv6c7CpPcrc,107283
552,2024W12,12,sv6c7CpPcrc,107284
583,2024W13,18,sv6c7CpPcrc,107285
230,2024W14,7,sv6c7CpPcrc,107286
229,2024W15,18,sv6c7CpPcrc,107287
679,2023W16,4,vBWtCmNNnCG,107235
161,2023W17,7,vBWtCmNNnCG,107236
343,2023W18,20,vBWtCmNNnCG,107237
28,2023W19,24,vBWtCmNNnCG,107238
99,2023W20,24,vBWtCmNNnCG,107239
100,2023W21,18,vBWtCmNNnCG,107240
88,2023W22,15,vBWtCmNNnCG,107241
89,2023W23,26,vBWtCmNNnCG,107242
85,2023W24,20,vBWtCmNNnCG,107243
86,2023W25,12,vBWtCmNNnCG,107244
84,2023W26,18,vBWtCmNNnCG,107245
21,2023W27,10,vBWtCmNNnCG,107246
22,2023W28,28,vBWtCmNNnCG,107247
23,2023W29,17,vBWtCmNNnCG,107248
186,2023W30,22,vBWtCmNNnCG,107249
372,2023W31,38,vBWtCmNNnCG,107250
177,2023W32,22,vBWtCmNNnCG,107251
693,2023W33,17,vBWtCmNNnCG,107252
178,2023W34,7,vBWtCmNNnCG,107253
354,2023W35,15,vBWtCmNNnCG,107254
172,2023W36,15,vBWtCmNNnCG,107255
162,2023W38,2,vBWtCmNNnCG,107257
344,2023W39,4,vBWtCmNNnCG,107258
636,2023W40,1,vBWtCmNNnCG,107259
279,2023W41,1,vBWtCmNNnCG,107260
281,2023W42,1,vBWtCmNNnCG,107261
611,2023W44,49,vBWtCmNNnCG,107263
270,2023W45,43,vBWtCmNNnCG,107264
267,2023W46,25,vBWtCmNNnCG,107265
607,2023W47,19,vBWtCmNNnCG,107266
605,2023W48,30,vBWtCmNNnCG,107267
303,2023W49,33,vBWtCmNNnCG,107268
675,2023W50,52,vBWtCmNNnCG,107269
183,2023W51,48,vBWtCmNNnCG,107270
369,2023W52,52,vBWtCmNNnCG,107271
20,2024W1,35,vBWtCmNNnCG,107273
16,2024W2,33,vBWtCmNNnCG,107274
18,2024W3,43,vBWtCmNNnCG,107275
11,2024W4,42,vBWtCmNNnCG,107276
6,2024W5,50,vBWtCmNNnCG,107277
187,2024W6,30,vBWtCmNNnCG,107278
706,2024W7,33,vBWtCmNNnCG,107279
1,2024W8,57,vBWtCmNNnCG,107280
7,2024W9,44,vBWtCmNNnCG,107281
104,2024W10,56,vBWtCmNNnCG,107282
283,2024W11,44,vBWtCmNNnCG,107283
108,2024W12,40,vBWtCmNNnCG,107284
101,2024W13,43,vBWtCmNNnCG,107285
95,2024W14,40,vBWtCmNNnCG,107286
96,2024W15,50,vBWtCmNNnCG,107287
