time_period,rainfall,mean_temperature,max_temperature
2010-01-01,0.0007465183734893799,24.384312566121423,28.630792236328148
2010-01-02,0.001323568820851051,24.31064376831057,28.541528320312523
2010-01-03,0.00047819614400168575,24.39231897989913,28.797662353515648
2010-01-04,6.964802742004395e-05,24.552413558959984,29.18653259277346
2010-01-05,0.00021623373021384396,25.51707483927413,30.468301391601585
2010-01-06,0.0016421526670455933,25.73267199198409,30.373590087890648
2010-01-07,0.01914188563813468,21.138948059082054,22.179925537109398
2010-01-08,8.775293827056885e-05,21.888319269816122,24.05152282714846
2010-01-09,1.0952353477478027e-05,22.724890645345056,26.165429687500023
2010-01-10,0.00013990573842193044,23.454389826456747,28.20441589355471
2010-01-11,4.8893690063778195e-05,23.799717839558923,29.132241821289085
2010-01-12,4.351138045421976e-07,20.442257817586267,25.747857666015648
2010-01-13,0.0,19.29378471374514,24.08625183105471
2010-01-14,1.2868549106315186e-06,19.668450927734398,24.298806762695335
2010-01-15,1.7070676676667063e-06,21.724195734659872,26.487466430664085
2010-01-16,5.61495329520767e-06,22.1972537994385,26.843545532226585
2010-01-17,8.583063504374877e-07,21.20165850321456,25.927102661132835
2010-01-18,0.0,20.32434679667159,25.731362915039085
2010-01-19,8.52346317969932e-07,22.13820864359542,27.267556762695335
2010-01-20,0.002428183079075552,23.010718282063806,29.133660888671898
2010-01-21,0.02557094395160675,21.469267145792685,22.17530212402346
2010-01-22,0.021698403358413998,21.478725051879906,22.14789733886721
2010-01-23,0.013862130449865617,20.915315246582054,22.420709228515648
2010-01-24,0.00036697387685080685,21.58351605733236,24.840295410156273
2010-01-25,0.0002204328775974318,22.654365158081077,26.897363281250023
2010-01-26,1.3023612837059773e-06,22.072083409627282,26.04395446777346
2010-01-27,8.463859444418631e-07,22.149891789754236,26.218118286132835
2010-01-28,1.937031413490331e-06,24.17277297973635,29.11164245605471
2010-01-29,0.00013423306586446415,24.283020909627282,29.244836425781273
2010-01-30,8.051203826653364e-05,24.755553817749046,30.097436523437523
2010-01-31,2.7483701160235796e-05,25.14156049092611,30.99286804199221
2010-02-01,2.1382026602623228e-06,25.215931828816736,31.104699707031273
2010-02-02,4.29531144163775e-06,25.640402094523154,31.491479492187523
2010-02-03,3.841658326564357e-06,26.13013356526693,31.672769165039085
2010-02-04,6.918155486346222e-05,26.383457438151083,30.913079833984398
2010-02-05,0.0006895792982390958,25.875811513264978,30.849664306640648
2010-02-06,0.0004500599449102083,25.787597274780296,30.729760742187523
2010-02-07,0.0004030070628004978,25.570816294352255,30.858193969726585
2010-02-08,0.00021641254426185697,26.218669509887718,30.735192871093773
2010-02-09,3.445174235139348e-05,26.729602432251,32.07129821777346
2010-02-10,1.2934207802572928e-06,27.13063519795736,33.06020507812502
2010-02-11,8.523463748133508e-07,27.161159133911156,33.653970336914085
2010-02-12,8.52346317969932e-07,26.638613001505576,33.69416198730471
2010-02-13,1.2844800494349329e-06,25.435411071777366,30.180139160156273
2010-02-14,0.00018115818670594308,26.57973187764486,31.282830810546898
2010-02-15,4.6649575228485674e-05,27.733178075154626,33.36824951171877
2010-02-16,1.3464689249786943e-05,24.759234364827478,29.355279541015648
2010-02-17,0.0002480270386513439,23.922578430175804,28.704446411132835
2010-02-18,0.00018679529392784389,21.56399052937826,26.029458618164085
2010-02-19,5.3256750106811523e-05,19.35038782755538,23.749780273437523
2010-02-20,5.610585208160046e-05,21.83004722595217,26.795037841796898
2010-02-21,1.2427568435668945e-05,24.231452560424827,30.072625732421898
2010-02-22,8.940696716308594e-07,25.728878911336267,31.983544921875023
2010-02-23,4.297494888305664e-05,26.04325383504232,31.735375976562523
2010-02-24,2.1338462374842493e-06,27.05898818969729,33.53235778808596
2010-02-25,2.1424560827654204e-06,26.896834945678734,34.18435058593752
2010-02-26,2.591753059277835e-06,27.919250106811546,34.73470458984377
2010-02-27,0.0,27.788863754272484,34.42400512695315
2010-02-28,8.52346317969932e-07,28.577551142374716,34.61712036132815
2010-03-01,1.7064855342141527e-06,28.88495534261068,35.12073669433596
2010-03-02,0.0,29.065831120808923,35.68862304687502
2010-03-03,1.7106532368416083e-06,28.67904434204104,35.58974609375002
2010-03-04,0.0,28.810220972696982,36.10041198730471
2010-03-05,4.351138045421976e-07,28.94198061625167,35.59241638183596
2010-03-06,1.732286136757466e-06,29.38469530741378,36.10669860839846
2010-03-07,-1.1920917586394353e-08,29.82644424438479,36.292337036132835
2010-03-08,3.1004091965769476e-05,30.442245101928734,36.03054199218752
2010-03-09,0.0004505366086959839,22.476869837443076,29.57691345214846
2010-03-10,0.0,19.644844945271814,23.089151000976585
2010-03-11,1.716046028832352e-06,22.39406547546389,27.18311462402346
2010-03-12,9.174129900202388e-09,26.070288594563806,31.890481567382835
2010-03-13,8.52346317969932e-07,29.132931009928427,35.207070922851585
2010-03-14,2.58088101645626e-06,29.685957209269247,35.918130493164085
2010-03-15,1.2941450222569983e-06,29.78557612101241,35.98577270507815
2010-03-16,9.510815143087825e-05,28.035492833455407,34.3095642089844
2010-03-17,0.0,26.422263081868493,31.02277526855471
2010-03-18,0.0,26.295214589436853,31.148034667968773
2010-03-19,0.0,27.449611282348656,32.6044860839844
2010-03-20,7.109642018576778e-05,29.123991902669275,34.2216735839844
2010-03-21,0.00021657347679138184,28.465512212117517,34.225503540039085
2010-03-22,0.00022913813580771603,28.833788172404013,34.0615173339844
2010-03-23,1.2695788882410852e-06,29.781128819783532,34.77395019531252
2010-03-24,4.6193599700927734e-07,30.166647847493493,37.357522583007835
