time_period,rainfall,mean_temperature,disease_cases,location
2013-04,117.427,25.19,204,Acre
2013-05,113.301,24.63,95,Acre
2013-06,102.461,24.33,82,Acre
2013-07,43.859,23.74,71,Acre
2013-08,66.639,24.26,21,Acre
2013-09,108.458,25.63,23,Acre
2013-10,209.41,25.3,21,Acre
2013-11,240.909,25.05,74,Acre
2013-12,237.702,25.41,105,Acre
2014-01,321.821,24.56,330,Acre
2014-02,281.842,24.64,126,Acre
2014-03,293.87,24.65,203,Acre
2014-04,223.282,24.69,293,Acre
2014-05,132.623,24,439,Acre
2014-06,72.219,23.89,428,Acre
2014-07,53.068,23.62,609,Acre
2014-08,85.662,24.84,1679,Acre
2014-09,124.432,25.99,7091,Acre
2014-10,206.418,25.53,8059,Acre
2014-11,283.96,24.99,5626,Acre
2014-12,277.762,25,3767,Acre
2015-01,336.277,24.28,2334,Acre
2015-02,287.955,24.97,1452,Acre
2015-03,333.485,24.76,929,Acre
2015-04,267.523,24.58,342,Acre
2015-05,187.802,24.09,245,Acre
2015-06,69.643,24.19,224,Acre
2015-07,52.826,24.4,114,Acre
2015-08,64.388,26.55,55,Acre
2015-09,82.956,26.91,71,Acre
2015-10,130.737,26.94,80,Acre
2015-11,212.699,26.1,88,Acre
2015-12,204.918,25.92,162,Acre
2016-01,212.224,26.35,270,Acre
2016-02,269.139,25.73,445,Acre
2016-03,273.161,25.55,354,Acre
2016-04,163.655,25.29,244,Acre
2016-05,103.626,24.58,115,Acre
2016-06,41.121,23.98,70,Acre
2016-07,20.072,25.62,68,Acre
2016-08,76.28,26.35,46,Acre
2016-09,143.498,25.6,43,Acre
2016-10,186.362,25.68,42,Acre
2016-11,205.542,25.47,65,Acre
2016-12,247.881,25.39,103,Acre
2001-03,61.591,25.91,1958,Alagoas
2001-04,43.929,25.25,3153,Alagoas
2001-05,36.079,25.33,2886,Alagoas
2001-06,124.344,22.95,628,Alagoas
2001-07,103.309,22.41,139,Alagoas
2001-08,75.879,21.97,114,Alagoas
2001-09,43.946,23.59,118,Alagoas
2001-10,52.355,24.79,178,Alagoas
2001-11,20.305,25.91,439,Alagoas
2001-12,56.527,25.97,882,Alagoas
2002-01,125.603,24.95,4457,Alagoas
2002-02,72.908,25.52,4855,Alagoas
2002-03,69.623,25.59,4111,Alagoas
2002-04,61.058,25.26,1943,Alagoas
2002-05,101.123,24.26,656,Alagoas
2002-06,161.556,22.81,229,Alagoas
2002-07,75.618,22.68,160,Alagoas
2002-08,71.353,22.23,148,Alagoas
2002-09,31.554,23.82,163,Alagoas
2002-10,33.814,24.62,148,Alagoas
2002-11,26.948,25.82,202,Alagoas
2002-12,34.679,26.76,383,Alagoas
2003-01,55.754,27.3,677,Alagoas
2003-02,50.087,26.07,919,Alagoas
2003-03,78.787,26.12,909,Alagoas
2003-04,38.554,26.27,832,Alagoas
2003-05,63.304,25.05,937,Alagoas
2003-06,84.123,23.48,657,Alagoas
2003-07,65.095,22.63,451,Alagoas
2003-08,47.507,23.23,253,Alagoas
2003-09,55.189,23.87,219,Alagoas
2003-10,41.301,24.88,254,Alagoas
2003-11,34.986,25.98,399,Alagoas
2003-12,22.743,26.8,468,Alagoas
2004-01,259.481,25.61,879,Alagoas
2004-02,96.29,25.35,609,Alagoas
2004-03,39.594,25.97,681,Alagoas
2004-04,50.893,25.69,642,Alagoas
2004-05,66.98,24.62,579,Alagoas
2004-06,162.329,22.77,186,Alagoas
2004-07,112.721,22.05,117,Alagoas
2004-08,69.322,22.4,108,Alagoas
2004-09,65.776,22.9,74,Alagoas
2004-10,26.28,24.94,133,Alagoas
2004-11,19.581,26.02,103,Alagoas
2004-12,12.506,26.78,195,Alagoas
2005-01,16.009,27.58,125,Alagoas
2005-02,44.28,27.12,504,Alagoas
2005-03,87.622,27.06,418,Alagoas
2005-04,53.972,25.51,425,Alagoas
2005-05,134.021,24.24,390,Alagoas
2005-06,126.931,23.28,234,Alagoas
2005-07,98.623,22.17,115,Alagoas
2005-08,82.468,22.26,114,Alagoas
2005-09,44.073,23.66,80,Alagoas
2005-10,28.668,24.97,92,Alagoas
2005-11,15.939,26.27,137,Alagoas
2005-12,63.592,25.82,135,Alagoas
2006-01,29.714,25.91,383,Alagoas
2006-02,27.389,27.23,431,Alagoas
2006-03,68.196,26.93,712,Alagoas
2006-04,93.645,25.67,1080,Alagoas
2006-05,120.595,24.2,671,Alagoas
2006-06,146.901,22.69,287,Alagoas
2006-07,118.663,22.06,216,Alagoas
2006-08,56.906,22.49,180,Alagoas
2006-09,38.489,23.69,115,Alagoas
2006-10,29.298,25.24,162,Alagoas
2006-11,26.52,26.19,463,Alagoas
2006-12,19.608,26.84,1054,Alagoas
2007-01,24.923,27.03,12584,Alagoas
2007-02,155.677,26.23,16456,Alagoas
2007-03,85.654,25,12696,Alagoas
2007-04,66.339,25.26,4799,Alagoas
2007-05,88.205,24.02,1973,Alagoas
2007-06,102.652,22.94,906,Alagoas
2007-07,79.088,22.3,1090,Alagoas
2007-08,90.187,21.97,729,Alagoas
2007-09,68.089,22.46,426,Alagoas
2007-10,37.193,24.09,373,Alagoas
2007-11,17.637,25.76,334,Alagoas
2007-12,24.982,26.12,703,Alagoas
2008-01,35.985,26.11,418,Alagoas
2008-02,63.279,26.75,486,Alagoas
2008-03,165.232,25.35,930,Alagoas
2008-04,75.679,25.02,3051,Alagoas
2008-05,130.282,23.94,1854,Alagoas
2008-06,86.272,22.57,533,Alagoas
2008-07,98.313,21.82,194,Alagoas
2008-08,88.604,22.17,152,Alagoas
2008-09,36.521,23.76,97,Alagoas
2008-10,43.22,24.62,120,Alagoas
2008-11,9.647,26.3,134,Alagoas
2008-12,17.207,26.88,114,Alagoas
2009-01,27.532,26.93,234,Alagoas
2009-02,85.438,26.09,408,Alagoas
2009-03,53.659,26.65,739,Alagoas
2009-04,84.645,26.22,546,Alagoas
2009-05,277.905,23.94,526,Alagoas
2009-06,96.927,23.43,307,Alagoas
2009-07,92.059,22.71,215,Alagoas
2009-08,98.17,22.64,241,Alagoas
2009-09,31.16,23.93,167,Alagoas
2009-10,20.422,25.88,213,Alagoas
2009-11,14.403,26.19,512,Alagoas
2009-12,40.254,26.7,1489,Alagoas
2010-01,68.525,25.94,6859,Alagoas
2010-02,50.955,26.67,10277,Alagoas
2010-03,37.643,27.52,14345,Alagoas
2010-04,189.813,25.58,11854,Alagoas
2010-05,58.791,24.97,6969,Alagoas
2010-06,175.966,23.28,3163,Alagoas
2010-07,88.176,22.5,2010,Alagoas
2010-08,59.636,21.96,1248,Alagoas
2010-09,64.96,22.75,871,Alagoas
2010-10,54.685,25.2,659,Alagoas
2010-11,14.509,25.95,805,Alagoas
2010-12,39.527,26.32,1148,Alagoas
2011-01,71.302,25.86,1078,Alagoas
2011-02,65.717,25.94,1315,Alagoas
2011-03,48.674,26.8,1659,Alagoas
2011-04,162.977,25.22,1488,Alagoas
2011-05,193.854,23.64,1141,Alagoas
2011-06,83.195,23.03,654,Alagoas
2011-07,192.181,22.06,359,Alagoas
2011-08,54.96,22.4,392,Alagoas
2011-09,62.024,22.53,364,Alagoas
2011-10,45.151,24.54,401,Alagoas
2011-11,63.468,24.89,274,Alagoas
2011-12,19.886,26.09,190,Alagoas
