location,time_period,horizon_distance,sample,forecast
LA-AT,201008,0,0,3.7272262057814087
LA-AT,201008,0,1,5.576066510305544
LA-AT,201008,0,2,186.6246685727545
LA-AT,201008,0,3,41.29670884320307
LA-AT,201008,0,4,7.010110862453763
LA-AT,201008,0,5,1.8151670695837843
LA-AT,201008,0,6,20.651273689029324
LA-AT,201008,0,7,5.169172911888813
LA-AT,201008,0,8,28.658989708481435
LA-AT,201008,0,9,3.2413090677728165
LA-AT,201008,0,10,8.922169998651388
LA-AT,201008,0,11,6.524193724445169
LA-AT,201008,0,12,167.38166835489224
LA-AT,201008,0,13,5.161270557929627
LA-AT,201008,0,14,23.333734705766247
LA-AT,201008,0,15,26.640326424316157
LA-AT,201008,0,16,3.2492114217320025
LA-AT,201008,0,17,15.06524100566099
LA-AT,201008,0,18,3.257113775691189
LA-AT,201008,0,19,3.257113775691189
LA-AT,201008,0,20,3.7272262057814087
LA-AT,201008,0,21,5.576066510305544
LA-AT,201008,0,22,14.085504375684618
LA-AT,201008,0,23,3.6956167899446637
LA-AT,201008,0,24,2.29318185363319
LA-AT,201008,0,25,24.372661359955153
LA-AT,201008,0,26,1.337152285534378
LA-AT,201008,0,27,16.92198366414431
LA-AT,201008,0,28,33.040146304517954
LA-AT,201008,0,29,50.58057739658239
LA-AT,201008,0,30,17.00890955769536
LA-AT,201008,0,31,10.889545612563314
LA-AT,201008,0,32,7.559246832135844
LA-AT,201008,0,33,1.8230694235429703
LA-AT,201008,0,34,17.917525002039056
LA-AT,201008,0,35,43.17715856356395
LA-AT,201008,0,36,3.6877144359854777
LA-AT,201008,0,37,4.157826866075697
LA-AT,201008,0,38,6.069886002273322
LA-AT,201008,0,39,3.217602005895258
LA-AT,201008,0,40,6.547900786322728
LA-AT,201008,0,41,4.635841650125104
LA-AT,201008,0,42,1.8230694235429703
LA-AT,201008,0,43,27.67135072454588
LA-AT,201008,0,44,0.8670398554441582
LA-AT,201008,0,45,16.546699481564325
LA-AT,201008,0,46,4.667451065961849
LA-AT,201008,0,47,26.754832926242997
LA-AT,201008,0,48,22.57123517918614
LA-AT,201008,0,49,12.619850607699655
LA-AT,201008,0,50,1.8230694235429703
LA-AT,201008,0,51,2.755391929764224
LA-AT,201008,0,52,13.560075467880097
LA-AT,201008,0,53,0.8670398554441582
LA-AT,201008,0,54,2.29318185363319
LA-AT,201008,0,55,3.7272262057814087
LA-AT,201008,0,56,4.165729220034883
LA-AT,201008,0,57,6.978501446617017
LA-AT,201008,0,58,5.599773572183102
LA-AT,201008,0,59,3.225504359854444
LA-AT,201008,0,60,4.181533927953256
LA-AT,201008,0,61,9.814980735076709
LA-AT,201008,0,62,18.731312198872516
LA-AT,201008,0,63,6.069886002273322
LA-AT,201008,0,64,47.597826929396405
LA-AT,201008,0,65,2.7632942837234102
