"year","district","population","week","weekly_hospitalised_cases","rhdailymean","rainsum","meantemperature"
2014,18,58000,4,NA,81.6666666666667,0,20.825
2014,18,58000,5,NA,67.0657142857143,0,23.8357142857143
2014,18,58000,6,NA,74.2857142857143,0,23.8714285714286
2014,18,58000,7,NA,85.4285714285714,25.5999996066093,21.9928571428571
2014,19,298000,1,NA,75.5,0,23.6571428571429
2014,19,298000,2,NA,80.6866666666667,0,21.8714285714286
2014,19,298000,3,NA,82.2857142857143,7.81000019051135,21.7333333333333
2014,19,298000,4,NA,81.6666666666667,0,20.825
2014,19,298000,5,NA,67.0657142857143,0,23.8357142857143
2014,19,298000,6,NA,74.2857142857143,0,23.8714285714286
2014,19,298000,7,NA,85.4285714285714,25.5999996066093,21.9928571428571
2014,20,186000,1,NA,61.43,0,22.55
2014,20,186000,2,NA,61.9242857142857,0,23.5428571428571
2014,20,186000,3,NA,66.7571428571429,0,22.9428571428571
2014,20,186000,4,NA,59,11.3000001907349,24
2014,20,186000,5,NA,64.34,0,22.9214285714286
2014,20,186000,6,NA,55.5714285714286,0,23.9
2014,20,186000,7,NA,57.2857142857143,0,23.25
2014,21,552000,1,NA,75.5,0,23.6571428571429
2014,21,552000,2,NA,80.6866666666667,0,21.8714285714286
2014,21,552000,3,NA,82.2857142857143,7.81000019051135,21.7333333333333
2014,21,552000,4,NA,81.6666666666667,0,20.825
2014,21,552000,5,NA,67.0657142857143,0,23.8357142857143
2014,21,552000,6,NA,74.2857142857143,0,23.8714285714286
2014,21,552000,7,NA,85.4285714285714,25.5999996066093,21.9928571428571
2014,22,3093000,1,NA,50.2066666666667,0,18.5214285714286
2014,22,3093000,2,NA,53.9228571428571,0,14.35
2014,22,3093000,3,NA,55.5,0,19.8071428571429
2014,22,3093000,4,NA,49.7142857142857,0,16.9928571428571
2014,22,3093000,5,NA,63,0,17.9285714285714
2014,22,3093000,6,NA,52,0,21.6
2014,22,3093000,7,NA,47,0,19.2071428571429
2014,23,264000,1,NA,73.25,0,23.6428571428571
2014,23,264000,2,NA,70.4285714285714,4.59999990463257,24.4
2014,23,264000,3,NA,79.4285714285714,0,25.35
2014,23,264000,4,NA,76,0,27
2014,23,264000,5,NA,78,0,27.66
2014,23,264000,6,NA,77.8,0,27.4
2014,23,264000,7,NA,77.2,0,27.96
2014,24,679000,1,NA,78.0457142857143,0,28.7166666666667
2014,24,673000,2,NA,67.33,0,29.0625
2014,24,673000,3,NA,75.06,0,29.8857142857143
2014,24,673000,4,NA,75.7828571428571,0,31.5571428571429
2014,24,673000,5,NA,77.5971428571429,0,30.9857142857143
2014,24,673000,6,NA,74.81,0,31.8285714285714
2014,24,673000,7,NA,77.81,0,31.65
2014,25,120000,1,NA,63.3333333333333,70.8300008773804,30.0142857142857
2014,25,120000,2,NA,50.2857142857143,8.61999988555908,30.1285714285714
2014,25,120000,3,NA,59.1428571428571,19.789999961853,31.1357142857143
2014,25,120000,4,NA,49.1428571428571,0.25,30.2571428571429
2014,25,120000,5,NA,65,69.2699999809265,28.3142857142857
2014,25,120000,6,NA,78.1428571428571,79.6300010681152,29.1071428571429
2014,25,120000,7,NA,76.8571428571429,57.7800016403198,29.6142857142857
2014,26,1e+05,1,NA,51.6666666666667,0,23.4071428571429
2014,26,1e+05,2,NA,51.8571428571429,0,23.35
2014,26,1e+05,3,NA,49.1428571428571,0,23.7785714285714
2014,26,1e+05,4,NA,51.8571428571429,0,25.0571428571429
2014,26,1e+05,5,NA,47.6666666666667,0,23.2285714285714
2014,26,1e+05,6,NA,38.6666666666667,0,24.2071428571429
2014,26,1e+05,7,NA,42,0,26.8071428571429
2014,27,80000,1,NA,45.4,0,25.0571428571429
2014,27,79000,2,NA,30,0,23.3666666666667
2014,27,79000,3,NA,36,12.8700003623962,23
2014,27,79000,4,NA,42.8333333333333,0,25.0285714285714
2014,27,79000,5,NA,32.2,0,24.2714285714286
2014,27,79000,6,NA,35.4285714285714,0.25,22.3857142857143
2014,27,79000,7,NA,41.7142857142857,0.5,24.3142857142857
2014,29,778000,1,NA,74.87,12.3000001907349,25.3833333333333
2014,29,778000,2,NA,76.2014285714286,2,25.22
2014,29,778000,3,NA,66.0757142857143,0,25.9571428571429
2014,29,778000,4,NA,65.5914285714286,0,25.9714285714286
2014,29,778000,5,NA,79.64,26.2000002861023,24.6714285714286
2014,29,778000,6,NA,72.2271428571429,6.69999980926514,24.1714285714286
2014,29,778000,7,NA,69.2671428571429,2.39999997615814,24.1714285714286
2014,30,63000,1,NA,84,0,27.2785714285714
2014,30,63000,2,NA,76.5714285714286,0.200000002980232,23.0785714285714
2014,30,63000,3,NA,69.1428571428571,46.1999996900558,20.8357142857143
2014,30,63000,4,NA,72.7142857142857,0,24.55
2014,30,63000,5,NA,74.4285714285714,1.00000002980232,21.9357142857143
